Datum,Produkt-ID,Vertriebsstätte-ID,Menge
07/08/2019,1004,908,2
05/28/2019,1007,904,1
10/30/2019,1001,907,3
03/23/2019,1003,905,3
02/28/2019,1002,908,3
09/11/2019,1002,903,3
03/01/2019,1004,904,2
03/26/2019,1004,907,1
09/15/2019,1003,906,3
10/11/2019,1008,904,1
10/22/2019,1008,902,3
07/17/2019,1003,902,1
11/15/2019,1005,904,3
10/26/2019,1005,908,1
06/19/2019,1008,905,1
03/17/2019,1002,902,3
05/25/2019,1001,904,2
05/27/2019,1008,901,1
02/23/2019,1003,905,2
08/18/2019,1007,904,1
11/08/2019,1004,902,1
07/07/2019,1007,905,2
05/02/2019,1004,901,2
09/26/2019,1005,907,3
03/04/2019,1008,904,2
11/11/2019,1005,906,2
08/07/2019,1003,904,2
02/13/2019,1005,906,2
10/17/2019,1002,901,3
02/15/2019,1002,901,3
02/05/2019,1006,904,2
06/18/2019,1002,902,1
11/06/2019,1004,904,1
05/20/2019,1008,901,2
01/26/2019,1002,907,3
12/09/2019,1005,906,1
08/21/2019,1008,906,3
11/05/2019,1005,903,2
12/13/2019,1008,901,1
10/05/2019,1007,908,3
11/26/2019,1005,908,1
11/08/2019,1008,903,2
04/30/2019,1002,906,1
07/13/2019,1004,906,3
08/01/2019,1008,906,2
07/23/2019,1001,903,2
02/16/2019,1003,901,3
06/25/2019,1008,906,1
07/18/2019,1008,908,3
04/28/2019,1005,901,1
05/15/2019,1001,904,3
10/30/2019,1007,903,3
10/16/2019,1007,907,2
07/26/2019,1001,906,3
12/01/2019,1004,907,3
12/22/2019,1002,903,3
05/13/2019,1003,908,3
07/29/2019,1001,904,3
01/06/2019,1005,905,1
04/01/2019,1007,902,1
05/21/2019,1001,905,2
10/02/2019,1007,905,1
11/09/2019,1007,905,3
04/08/2019,1004,907,3
12/10/2019,1002,903,2
03/12/2019,1005,905,2
08/10/2019,1002,904,3
08/13/2019,1002,907,3
09/13/2019,1003,905,3
11/22/2019,1005,908,3
07/26/2019,1008,908,2
05/15/2019,1005,901,2
09/23/2019,1003,902,3
11/18/2019,1008,902,2
06/29/2019,1005,901,2
05/17/2019,1004,902,1
08/31/2019,1003,907,1
04/21/2019,1002,902,2
12/11/2019,1001,901,2
03/10/2019,1004,903,1
04/01/2019,1007,903,1
02/16/2019,1007,903,1
07/25/2019,1006,906,2
05/15/2019,1003,908,3
07/05/2019,1002,908,1
01/19/2019,1002,906,3
01/09/2019,1007,902,3
03/30/2019,1006,903,2
01/03/2019,1005,903,3
09/26/2019,1001,902,1
02/04/2019,1005,903,2
04/07/2019,1001,901,2
06/14/2019,1002,906,2
06/01/2019,1006,905,1
09/27/2019,1002,905,2
12/30/2019,1006,903,1
12/21/2019,1006,905,1
03/15/2019,1008,905,2
10/06/2019,1006,906,1
08/21/2019,1004,908,2
10/16/2019,1008,908,2
08/13/2019,1006,907,2
05/11/2019,1006,903,1
01/16/2019,1005,902,3
02/13/2019,1001,907,2
06/18/2019,1003,907,3
08/15/2019,1006,904,3
03/31/2019,1006,901,2
12/19/2019,1005,902,3
06/06/2019,1003,904,1
06/04/2019,1001,906,3
11/22/2019,1006,907,2
05/29/2019,1005,905,1
08/11/2019,1003,905,3
11/01/2019,1007,901,1
07/13/2019,1003,905,1
11/25/2019,1003,908,3
12/07/2019,1008,908,2
02/26/2019,1001,908,2
03/28/2019,1003,903,3
01/06/2019,1005,902,1
03/21/2019,1003,903,2
06/12/2019,1004,901,1
01/11/2019,1001,908,2
01/18/2019,1003,907,1
01/08/2019,1003,903,2
04/02/2019,1002,907,3
04/22/2019,1002,901,1
06/22/2019,1001,905,1
07/16/2019,1006,904,3
09/23/2019,1007,907,2
01/03/2019,1006,904,1
07/08/2019,1003,901,3
09/17/2019,1006,903,3
07/07/2019,1004,902,1
10/03/2019,1008,901,2
06/27/2019,1005,902,2
05/25/2019,1005,905,1
07/18/2019,1002,904,1
08/14/2019,1004,907,1
11/09/2019,1006,904,3
09/22/2019,1001,905,1
11/12/2019,1008,906,2
07/26/2019,1006,901,1
06/04/2019,1002,901,3
06/21/2019,1004,906,2
10/05/2019,1007,902,3
09/22/2019,1004,903,1
02/22/2019,1006,905,3
12/29/2019,1008,905,1
10/03/2019,1002,901,2
11/28/2019,1002,904,2
05/31/2019,1005,903,1
08/28/2019,1004,907,3
07/14/2019,1004,905,2
10/27/2019,1001,907,1
10/14/2019,1004,904,2
07/29/2019,1008,903,3
10/29/2019,1004,908,1
02/15/2019,1005,908,2
12/12/2019,1001,906,2
12/09/2019,1008,904,1
03/29/2019,1007,905,1
04/09/2019,1002,906,2
05/18/2019,1003,907,2
04/07/2019,1008,906,2
08/30/2019,1003,905,1
07/09/2019,1003,908,2
10/23/2019,1008,908,2
01/06/2019,1007,903,1
10/23/2019,1007,902,2
03/19/2019,1008,906,1
09/17/2019,1004,905,2
04/07/2019,1005,901,2
03/31/2019,1003,906,1
09/02/2019,1002,901,1
